video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds
Vg6ys_JvXzg,August Q/A Livestream! Come Ask Me Anything!,2024-08-09T15:17:26Z,5326,223,18,5904.0
sge9qTf8GdY,Getting Started in Azure Data Factory | Azure Fundamentals,2024-08-06T12:00:57Z,34656,542,26,1471.0
9ur0OpMADuM,How to use Azure SQL Databases | Azure Fundamentals,2024-07-30T12:00:10Z,39863,701,27,826.0
UTMuL_86gSQ,Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,2024-07-25T12:00:34Z,56352,1604,165,367.0
sEImMaovc1Q,Blob Storage and Storage Accounts in Azure | Azure Fundamentals,2024-07-23T12:01:00Z,13362,251,11,941.0
ZYps6TmBkWk,Azure Account Setup + $200 Free Credits | Azure Fundamentals,2024-07-16T12:00:38Z,23261,490,30,397.0
zv1nfZTYpio,Building a Fully Interactive Web App using Shiny for Python,2024-07-09T12:01:07Z,14929,373,23,3592.0
rn0dSsYXhIE,Shiny for Python Components and Layouts | Customizing You Web App,2024-07-02T12:01:00Z,6064,170,13,1448.0
siHou7lObbo,Shiny for Python Setup and Install | Deploying First Shiny App,2024-06-25T12:00:53Z,13810,334,38,864.0
wJiJXD7MVoY,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,2024-06-18T12:00:06Z,13746,812,133,1279.0
BzwAZ1k3WEY,Top 5 Most Common Excel Functions in Excel,2024-06-11T12:00:10Z,8979,380,9,1007.0
5q2u8__sVhs,5 Awesome Excel Functions You've Probably Never Heard Of,2024-06-04T12:00:09Z,6424,237,17,844.0
UJbNEH0_nGY,How to Create Custom Functions in Excel | Lambda Functions,2024-05-28T12:00:23Z,7450,239,11,994.0
oz2K4HUNMW4,Top 5 Most Popular Functions In Microsoft Excel,2024-05-21T12:00:53Z,16292,453,28,992.0
Y-4ri9QjsTI,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,2024-05-14T12:00:28Z,5773,90,10,2740.0
F5v2dRYU5IA,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,2024-05-07T15:16:53Z,107520,3358,83,7480.0
_R6K1aNtKpE,Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,2024-05-07T12:00:30Z,2545,65,11,2707.0
5tKmTdvEAVk,How We Started Analyst Builder | How We Created It | Part 1,2024-04-30T12:00:07Z,6744,215,35,1367.0
QYd-RtK58VQ,MySQL Exploratory Data Analysis | Full Project,2024-04-23T12:00:21Z,127268,2986,140,1964.0
c5ko0sedE7k,750k Subscriber Livestream! | Giveaways | Songs | Q/A,2024-04-18T18:35:41Z,5189,229,13,4996.0
4UltKCnnnTA,Data Cleaning in MySQL | Full Project,2024-04-16T12:00:05Z,305880,6603,954,3071.0
BV5ckMNNvi4,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,2024-04-09T12:00:08Z,9025,283,86,3374.0
QMUZ5HfWMRc,Triggers and Events in MySQL | Advanced MySQL Series,2024-04-02T12:00:19Z,112900,3614,141,882.0
7b8ViCqD9JM,How to give up on the job search fast,2024-03-27T12:19:35Z,28525,2125,33,52.0
7vnxpcqmqNQ,Stored Procedures in MySQL | Advanced MySQL Series,2024-03-26T12:00:12Z,118137,2257,77,757.0
uEk07jXdKOo,Temp Tables in MySQL | Advanced MySQL Series,2024-03-19T12:00:56Z,79794,1670,65,466.0
UC7uvOqcUTs,CTEs in MySQL | Advanced MySQL Series,2024-03-12T12:00:23Z,135925,2240,70,631.0
1KEbiqRWOkA,7 Mistakes to Avoid During Your Data Analyst Job Search,2024-03-05T13:00:01Z,19994,753,50,714.0
UOBTLzWY1vs,#DataAnalyst #AnalystBuilder #SQL,2024-03-01T13:43:29Z,22028,1517,20,38.0
8zOkBTs0yxs,Q/A Livestream | February Livestream | Ask Me Anything!,2024-02-29T17:10:18Z,5628,188,7,5697.0
7NBt0V8ebGk,Window Functions in MySQL | Intermediate MySQL,2024-02-27T13:00:08Z,157073,4226,119,809.0
FGC0cCAgGu0,Twitter making me tear up over here 🥹,2024-02-23T13:34:27Z,7553,306,12,16.0
Vj6RqA_X-IE,Subqueries in MySQL | Intermediate MySQL,2024-02-20T13:00:32Z,131567,2136,85,661.0
RYIiOG4LsvQ,Case Statements in MySQL | Intermediate MySQL,2024-02-13T13:00:19Z,118218,2084,104,533.0
5y7tLNPVJPA,We did our best,2024-02-08T13:59:09Z,7157,240,5,9.0
